game_ave_session,count,percentage
a few minutes,5564,11.09803530467737
,41280,82.33768824174729
about a half-hour,1140,2.273860576443602
a few seconds,1668,3.3270170539543233
about an hour,267,0.5325620823775805
days or more,33,0.06582227984442006
a few hours,183,0.36501446095542034
