jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2015-07-31 03:00:00,Thecreeper0,IceMice Jam,1,0,1,2015-07-01 03:00:00,https://www.itch.io/jam/icemice-jam,u,720.0,0,IceMice Jam,0,0,1
,2018-12-01 17:00:00,Xalavier Nelson Jr.,#LehrerJam 2018,15,0,1,2018-11-01 16:00:00,https://www.itch.io/jam/lehrerjam-2018,u,721.0,1340,#LehrerJam 2018,0,0,1
,2018-03-03 19:15:00,Wheaton High School VMC,WHS Videogame Design Club: Invasions Game Jam,1,0,1,2018-02-01 05:00:00,https://www.itch.io/jam/whs-videogame-design-club-invasions-game-jam,u,734.25,400,WHS Videogame Design Club: Invasions Game Jam,0,0,1
,2019-01-25 01:00:00,Game Dev McGill,Game Jam Monthly - January 2019,3,0,1,2018-12-24 16:20:51,https://www.itch.io/jam/game-jam-monthly-january-2019,u,752.6525,533,Game Jam Monthly - January 2019,0,0,1
,2017-04-15 16:30:00,BepisDog,Doggo Game Jam,7,0,1,2017-03-11 17:30:00,https://www.itch.io/jam/doggo-game-jam,u,839.0,104,Doggo Game Jam,0,0,1
,2018-07-15 04:00:00,Turnovus,Mismatched Jam,9,0,1,2018-06-10 04:00:00,https://www.itch.io/jam/mismatched-jam,u,840.0,878,Mismatched Jam,0,0,1
,2018-07-13 00:00:00,Minh Thanh(wimpycat)||Just_Damian,DDLC Inspired Jam 2018,10,0,1,2018-06-08 00:00:00,https://www.itch.io/jam/ddlc-inspired-jam-2018,u,840.0,2633,DDLC Inspired Jam 2018,0,0,2
,2017-05-06 04:00:00,Themicrocheeze,Make it in a blender(Blender Game Jam),9,0,1,2017-04-01 04:00:00,https://www.itch.io/jam/make-it-in-a-blender,u,840.0,962,Make it in a blender(Blender Game Jam),0,0,1
,2015-09-30 21:59:59,tulas.xyz,Awful Music Modding !,1,0,1,2015-08-25 22:00:00,https://www.itch.io/jam/AMSModding,u,863.9997222222222,309,Awful Music Modding !,0,0,1
,2019-05-08 17:00:00,Ripityom,HEJ #4,3,0,1,2019-03-31 22:00:00,https://www.itch.io/jam/hej-4,u,907.0,60,HEJ #4,0,0,1
,2019-01-02 08:00:00,Tofu Sheets Visual,Bishoujo Jam,67,0,1,2018-11-25 08:00:00,https://www.itch.io/jam/bishoujo-jam,u,912.0,2318,Bishoujo Jam,0,0,1
,2018-07-31 01:00:00,Unique-Un-Original,Old software,3,0,1,2018-06-22 23:00:00,https://www.itch.io/jam/old-software,u,914.0,80,Old software,0,0,1
,2018-11-20 14:00:00,Yitz,Everything But The Game jam,26,0,1,2018-10-10 00:01:29,https://www.itch.io/jam/everythingbutthegame,u,997.9752777777778,2418,Everything But The Game jam,0,0,1
,2016-02-21 05:00:00,Smedis2,GAME FOR EUKARIA 20016,1,0,1,2016-01-10 05:00:00,https://www.itch.io/jam/Eukaria,u,1008.0,994,GAME FOR EUKARIA 20016,0,0,1
,2018-09-21 03:00:00,gamepreie,Windows Forms Jam,9,0,1,2018-08-08 23:30:42,https://www.itch.io/jam/windows-forms-jam,u,1035.4883333333332,291,Windows Forms Jam,0,0,1
,2018-07-01 04:59:00,spritewrench,JAMROCK JAM #2,4,0,1,2018-05-13 21:00:00,https://www.itch.io/jam/jamrock-jam-2,u,1159.9833333333333,347,JAMROCK JAM #2,1,0,1
,2015-12-30 23:00:00,pinguinoconpulgares,Moddable games,1,0,1,2015-11-10 23:00:00,https://www.itch.io/jam/moddable-games,u,1200.0,204,Moddable games,0,0,1
,2016-05-31 17:00:00,Pastelle Studios,Item End Jam!,14,0,1,2016-04-09 19:30:00,https://www.itch.io/jam/item-end-jam,u,1245.5,983,Item End Jam!,0,0,1
,2019-02-27 18:30:00,LuC1phAr7,PewDiePie Game Jam,5,0,1,2019-01-06 18:30:00,https://www.itch.io/jam/pewdiepie-game-jam-2k19,u,1248.0,80,PewDiePie Game Jam,0,0,1
,2017-02-01 00:00:00,KoopaGamer,Classical 8-Bit RPG,18,0,1,2016-12-07 00:01:17,https://www.itch.io/jam/classical-8-bit,u,1343.9786111111111,151,Classical 8-Bit RPG,0,0,1
,2017-11-30 05:00:00,Meg Ziegler,Game Jam by the Apocalypse,12,0,1,2017-10-01 04:00:00,https://www.itch.io/jam/game-jam-by-the-apocalypse,u,1441.0,916,Game Jam by the Apocalypse,0,0,1
,2018-06-30 21:59:59,Andrey Kuzmin||Sam Gwilym,Elm Game Jam — Trade and Commerce,12,0,1,2018-04-30 22:00:00,https://www.itch.io/jam/elm-game-jam-may-jun-2018,u,1463.9997222222223,676,Elm Game Jam — Trade and Commerce,0,0,2
,2018-05-31 13:59:59,xboxking129||xboxking129 voting,Am I Real? Jam,19,0,1,2018-03-31 14:00:00,https://www.itch.io/jam/am-i-real-jam,u,1463.9997222222223,476,Am I Real? Jam,0,0,2
,2018-12-11 02:00:00,TRKY,Merged Festivities : 1,5,0,1,2018-10-05 06:00:00,https://www.itch.io/jam/mergedfestivities1,u,1604.0,1231,Merged Festivities : 1,0,0,1
,2017-02-28 08:00:00,Candy✩Giants,No-Brainer IF Jam #2,10,0,1,2016-12-06 01:03:20,https://www.itch.io/jam/nbifjam2016,u,2022.9444444444443,3453,No-Brainer IF Jam #2,0,0,1
,2017-09-01 04:59:59,Alex Cline,2017 Jam of the Summer,35,0,1,2017-06-01 05:00:00,https://www.itch.io/jam/2017-jam-of-the-summer,u,2207.9997222222223,776,2017 Jam of the Summer,0,2,1
,2017-09-16 07:00:00,Rivit,Definitely Not A Metroid Game (Jam),18,0,1,2017-06-14 04:36:31,https://www.itch.io/jam/metroid-clone-jam,u,2258.3913888888887,545,Definitely Not A Metroid Game (Jam),0,0,1
,2017-12-31 15:00:00,veunen,2018 jam,9,0,1,2017-09-16 13:00:00,https://www.itch.io/jam/2018-jam,u,2546.0,127,2018 jam,1,0,1
,2016-05-02 01:00:00,Scorpio,BL Jam,3,0,1,2015-12-21 18:00:00,https://www.itch.io/jam/bl-jam,u,3175.0,343,BL Jam,0,0,1
,2018-06-08 16:30:00,A MAZE.,Flip the Script,19,0,2,2018-06-08 08:30:00,https://www.itch.io/jam/flip-the-script-jam,u,8.0,3931,Flip the Script,0,0,1
,2019-10-27 04:59:59,Jake Crabtree,UT Gayme Jam,2,0,2,2019-10-26 18:08:14,https://www.itch.io/jam/ut-gayme-jam,u,10.8625,800,UT Gayme Jam,0,0,1
,2016-04-03 06:59:59,Matthew R.F. Balousek,Slug Jam #3: Spring 2016,11,0,2,2016-04-02 17:00:00,https://www.itch.io/jam/slugjam3,u,13.999722222222223,1409,Slug Jam #3: Spring 2016,0,0,1
,2018-12-02 07:59:59,csufvgdc,Winter WonderJam,3,0,2,2018-12-01 18:00:00,https://www.itch.io/jam/winter-wonderjam,u,13.999722222222223,104,Winter WonderJam,0,0,1
,2019-04-28 16:00:00,EMS43,PCT Game Development Club's Spring Game Jam,2,0,2,2019-04-27 16:00:00,https://www.itch.io/jam/pct-game-development-clubs-spring-game-jam,u,24.0,20,PCT Game Development Club's Spring Game Jam,0,0,1
,2019-01-20 18:00:00,pr0te,Tiny Metroidvania Jam,9,0,2,2019-01-19 18:00:00,https://www.itch.io/jam/tiny-metroidvania-jam,u,24.0,752,Tiny Metroidvania Jam,0,0,1
,2019-07-04 04:05:01,JDPhoenixProductions,Prototype Jam,10,0,2,2019-07-03 04:05:00,https://www.itch.io/jam/the-prototype-jam,u,24.00027777777778,163,Prototype Jam,0,0,1
,2019-05-26 23:00:00,AbnerSantos,24hrs Jam! - Geleia Edition,3,0,2,2019-05-25 22:00:00,https://www.itch.io/jam/24hrs-jam-geleia-edition,u,25.0,166,24hrs Jam! - Geleia Edition,0,0,1
