jam_desc_len,jam_name,jam_no_illustrations,jam_no_videos,jam_url
1174,Kingsbuild Jam - No.1,0,1,https://www.itch.io/jam/kingsbuild-jam-no-1
635,Pinball jammin',0,0,https://www.itch.io/jam/pinball-jammin
777,EGA JAM,1,0,https://www.itch.io/jam/ega-jam
2640,CCD: La ciencia del arte - Jam Cervantino,0,0,https://www.itch.io/jam/lacienciadelarte
1101,2D Fan Games,0,0,https://www.itch.io/jam/fan-games
200,Cat Attacks,0,0,https://www.itch.io/jam/catattacks
699,Galactic Studios Signup Exam,0,0,https://www.itch.io/jam/galactic-studios-signup-exam
224,Idea Jam #3,0,0,https://www.itch.io/jam/idea-jam-3
1753,"Tycoon Jam #1,theme (Small business)",0,0,https://www.itch.io/jam/Tj
5681,The CMG Summer July Jam 2015,0,0,https://www.itch.io/jam/cmg-summer-jam-2015
442,Japanizam 2015,0,0,https://www.itch.io/jam/japanizam-2015
422,Burgers 'N' Fries Jam III,0,0,https://www.itch.io/jam/burgers-n-fries-jam-iii
0,일주일에 게임 하나 만들기(Game A Week) 1806[10],0,0,https://www.itch.io/jam/game-a-week-18060
400,WHS Videogame Design Club: Invasions Game Jam,0,0,https://www.itch.io/jam/whs-videogame-design-club-invasions-game-jam
961,JotaDê Jam Semanal #6,0,0,https://www.itch.io/jam/jdjam6
1149,The Unofficial NerdCubed Community Game Jam 2015,0,0,https://www.itch.io/jam/n3jam2015
561,MIDWEEK ANIMAL JAM,0,0,https://www.itch.io/jam/midweek-animal-jam
21,Nor Gamez,0,0,https://www.itch.io/jam/nor-gamez
1470,Drug Jam #3,0,0,https://www.itch.io/jam/drug-jam-3
180,Summer Camp,0,0,https://www.itch.io/jam/summer-camp
549,The Crusty Jam 2019,3,0,https://www.itch.io/jam/the-crusty-jam-2019
104,-Unofficial- Bitsy Jam,0,0,https://www.itch.io/jam/-unofficial-bitsy-jam
64,Techkids - Code for Viet Nam 2018,1,0,https://www.itch.io/jam/techkids-code-for-viet-nam-2018
1151,Scenic screenshot jam #1,3,0,https://www.itch.io/jam/scenic-screenshot-jam-1
1469,Day 6 Jam,0,0,https://www.itch.io/jam/day-6-jam
271,OddPotato Jam (Once Upon A Time),0,0,https://www.itch.io/jam/oddpotato-jam
489,Isolation Game Jam 2015,0,0,https://www.itch.io/jam/isolation-game-jam-2015
83,Week 1 - Choice,0,0,https://www.itch.io/jam/week1
2296,Spiltalent - juni 2019,0,0,https://www.itch.io/jam/spiltalent-juni-2019
190,Anime Jam,0,0,https://www.itch.io/jam/anime-jam
629,VARIETY MEGAJAM 2018,0,0,https://www.itch.io/jam/vmj2018
365,RPG Maker Jam 1,0,0,https://www.itch.io/jam/rpg-maker-jam-1
2323,Game Jam de Comunidades CPMX6 Reto 24,0,0,https://www.itch.io/jam/jamcomunidadescpmx6_reto_24
952,JotaDê Jam Semanal #2,0,0,https://www.itch.io/jam/jdjam2
94,The Minigame Collection,0,0,https://www.itch.io/jam/minigamecollection
266,Sandbox Game Jam,1,0,https://www.itch.io/jam/sandbox-game-jam
0,일주일에 게임 하나 만들기(Game A Week) 1805[00],0,0,https://www.itch.io/jam/game-a-week-180500
135,FORMULA 1 ABU DHABI GRAND PRIX Jam,0,0,https://www.itch.io/jam/formula-1-abu-dhabi-grand-prix-jam
800,UT Gayme Jam,0,0,https://www.itch.io/jam/ut-gayme-jam
778,Nomads Jam,0,0,https://www.itch.io/jam/nomads-jam
294,UCSB GDC Winter Jam 2019,0,0,https://www.itch.io/jam/ucsb-gdc-winter-jam-2019
835,Quickie Game Jam,0,0,https://www.itch.io/jam/quickie-game-jam
590,Movie Jam #1,0,0,https://www.itch.io/jam/hi-my-name-is-bob-and-why-are-you-reading-the-url
41,1 Hour Challenge,0,0,https://www.itch.io/jam/1-hour-challenge
184,48LezGameJam#7,0,0,https://www.itch.io/jam/48lezgamejam7
671,Fall Game Jam 2016,0,0,https://www.itch.io/jam/fall-game-jam-2016
527,Game Jam Monthly - September 2019,0,0,https://www.itch.io/jam/game-jam-monthly-september-2019
310,IGDA Becker Chapter April Arcade Jam 2018,0,0,https://www.itch.io/jam/igda-becker-april-arcade-jam-2018
911,Last Minute Christmas JAM,0,0,https://www.itch.io/jam/last-minute-christmas-jam
2491,Moe Minijam #1 - Team Management,0,0,https://www.itch.io/jam/absolutelymoe-minijam-1
0,일주일에 게임 하나 만들기(Game A Week) 1805[11],0,0,https://www.itch.io/jam/game-a-week-180511
20,PCT Game Development Club's Spring Game Jam,0,0,https://www.itch.io/jam/pct-game-development-clubs-spring-game-jam
598,Retro Challenge 1,0,0,https://www.itch.io/jam/retro-challenge-1
342,Snowman themed game jam,0,0,https://www.itch.io/jam/snowman-gamejam
0,일주일에 게임 하나 만들기(Game A Week) 1806[01],0,0,https://www.itch.io/jam/game-a-week-180601
438,Game Design Club's Winter Game Jam,0,0,https://www.itch.io/jam/game-design-clubs-winter-game-jam
16,MCAD Game Jam #3,0,0,https://www.itch.io/jam/mcad-game-jam-3
18,Train jam 2019 - Polish Edition,0,0,https://www.itch.io/jam/jam-w-pocigu
314,Frontin Ludens 2015,0,0,https://www.itch.io/jam/frontinludens2015
1226,Professional Jared Awareness Jam,0,0,https://www.itch.io/jam/professional-jared-awareness-jam
326,200 Lines of Code Challenge!,0,0,https://www.itch.io/jam/100-lines-of-code
230,V-Jam 2016 - The ValentinesDay Game Jam,0,0,https://www.itch.io/jam/v-jam-2016-valentinesday-game-jam
514,Simulator Jam (For Fun),0,0,https://www.itch.io/jam/simulator-jam-for-fun
212,Jack's Horror Jam,0,0,https://www.itch.io/jam/jacks-horror-game-jam
115,Summer in Galaxy - GameJam,0,0,https://www.itch.io/jam/summer-in-galaxy---gamejam
549,Nashville's 1st Month-Long Game Jam!,0,0,https://www.itch.io/jam/nashville-april-game-jam
52,Nordic Game Jam warmup!,0,0,https://www.itch.io/jam/nordic-game-jam-warmup
489,İstanbul Seçimleri,0,0,https://www.itch.io/jam/istanbul-secimleri
516,Stupid Jam,0,0,https://www.itch.io/jam/stupid-jam
1586,"Chronicles GameDev Challenge, Week 8",0,0,https://www.itch.io/jam/chronicles-gamedev-challenge-week-8
188,UM Jam 2016! Unity MultiPlayer,0,0,https://www.itch.io/jam/um-jam-201
