jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,duration,desc_len,jam_name_y,num_imgs,num_vids,num_hosts,popular
,2019-04-28 11:00:00,Nordic Game Jam team!,Nordic Game Jam 2019,126,0,103,2019-04-24 22:00:00,https://www.itch.io/jam/ngj19,85.0,429,Nordic Game Jam 2019,0,0,1,Yes
,2015-11-16 00:00:00,Cut Garnet Games,Procedural Generation Jam 2015,237,0,97,2015-11-07 00:00:00,https://www.itch.io/jam/procjam2015,216.0,2505,Procedural Generation Jam 2015,1,0,1,Yes
,2015-02-08 13:00:00,Nordic Game Jam||Anchel,Nordic Game Jam 2015,93,0,93,2015-02-06 12:00:00,https://www.itch.io/jam/ngj15,49.0,261,Nordic Game Jam 2015,0,0,2,Yes
,2016-07-24 04:00:00,J||queridoluz||lysander||charblar||myfirstgamejam,My First Game Jam: Summer Edition,585,0,91,2016-07-09 04:00:00,https://www.itch.io/jam/my-first-game-jam-summer-2016,360.0,1285,My First Game Jam: Summer Edition,0,0,5,Yes
,2019-04-06 05:00:00,sakevisual,NaNoRenO 2019,330,0,91,2019-03-01 06:00:00,https://www.itch.io/jam/nanoreno-2019,863.0,4241,NaNoRenO 2019,0,0,1,Yes
,2016-01-17 04:59:59,J||lysander||queridoluz,My First Game Jam,503,0,87,2016-01-02 05:00:00,https://www.itch.io/jam/my-first-game-jam,359.9997222222222,506,My First Game Jam,0,0,3,Yes
,2018-01-21 08:00:00,J||lysander||charblar,My First Game Jam: Winter 2018,460,0,87,2018-01-05 08:00:00,https://www.itch.io/jam/my-first-game-jam-winter-2018,384.0,1162,My First Game Jam: Winter 2018,0,0,3,Yes
,2015-07-01 04:00:00,Galejade,WAG Challenge!,90,0,85,2015-06-01 04:00:00,https://www.itch.io/jam/wag-challenge,720.0,3727,WAG Challenge!,7,0,1,Yes
,2018-04-15 10:30:00,Nordic Game Jam team!,Nordic Game Jam 2018,101,0,82,2018-04-13 18:00:00,https://www.itch.io/jam/ngj18,40.5,429,Nordic Game Jam 2018,0,0,1,Yes
,2019-07-21 06:59:59,J||charblar||lysander,My First Game Jam: Summer 2019,454,0,82,2019-07-05 07:00:00,https://www.itch.io/jam/my-first-game-jam-summer-2019,383.9997222222222,1432,My First Game Jam: Summer 2019,0,0,3,Yes
,2017-08-27 22:20:00,Kenney,Kenney Jam 2017,468,0,81,2017-08-25 11:00:00,https://www.itch.io/jam/kenney-jam-2017,59.333333333333336,1215,Kenney Jam 2017,1,1,1,Yes
,2018-03-19 08:00:00,msminotaur,Train Jam 2018,92,0,81,2018-03-15 06:00:00,https://www.itch.io/jam/train-jam-2018,98.0,222,Train Jam 2018,0,0,1,Yes
,2018-07-28 21:59:00,Miss Myu,COFFEE JAM,263,0,81,2018-07-20 22:01:00,https://www.itch.io/jam/coffee-jam,191.96666666666667,2468,COFFEE JAM,1,0,1,Yes
,2018-06-24 22:59:59,Cut Garnet Games,PROCJAM - The Procedural Generation Jam,359,0,80,2018-06-15 23:00:00,https://www.itch.io/jam/procjamsummer2018,215.99972222222223,3699,PROCJAM - The Procedural Generation Jam,8,1,1,Yes
,2018-10-31 07:00:00,_discovery,7dfps 2018,343,0,78,2018-10-20 07:00:00,https://www.itch.io/jam/7dfps-2018,264.0,405,7dfps 2018,1,0,1,Yes
,2016-06-26 23:00:00,emshort,Bring Out Your Dead,109,0,77,2016-06-17 23:00:00,https://www.itch.io/jam/bring-out-your-dead,216.0,1010,Bring Out Your Dead,0,0,1,Yes
,2019-03-15 05:00:00,Nora Blake,March of the Wizards 2k19!,124,0,77,2019-03-01 06:00:00,https://www.itch.io/jam/march-of-the-wizards-2k19,335.0,1818,March of the Wizards 2k19!,0,0,1,Yes
,2019-02-05 07:59:59,phillip,Nokia 3310 JAM,188,0,75,2019-02-01 08:00:00,https://www.itch.io/jam/3310jam,95.99972222222222,1866,Nokia 3310 JAM,1,0,1,Yes
,2019-06-07 06:59:59,Adam Le Doux,One Room (Bitsy Jam),182,0,75,2019-05-23 07:00:00,https://www.itch.io/jam/one-room-bitsy,359.9997222222222,1383,One Room (Bitsy Jam),0,0,1,Yes
,2019-05-20 22:59:59,W.H. Arthur||Swords and Flowers,Folklore Jam,248,0,75,2019-04-18 23:00:00,https://www.itch.io/jam/folklorejam,767.9997222222222,2529,Folklore Jam,0,0,2,Yes
,2019-10-20 23:00:00,SCREAM CATALOGUE||Caveware Digital,💀 SCREAM JAM 2019 💀,364,450,74,2019-10-10 23:00:00,https://www.itch.io/jam/scream-jam-2019,240.0,4687,💀 SCREAM JAM 2019 💀,0,0,2,Yes
,2017-01-22 04:59:59,J||charblar||lysander,My First Game Jam: Winter 2017,586,0,74,2017-01-07 05:00:00,https://www.itch.io/jam/my-first-game-jam-winter-2017,359.9997222222222,1240,My First Game Jam: Winter 2017,0,0,3,Yes
,2019-05-28 05:00:00,Riverhouse Games,Not A Game Jam Game Jam,163,0,72,2019-05-04 05:00:00,https://www.itch.io/jam/not-a-game-jam-game-jam,576.0,3547,Not A Game Jam Game Jam,2,0,1,Yes
,2018-04-04 05:00:00,sakevisual,NaNoRenO 2018,235,0,72,2018-03-01 06:00:00,https://www.itch.io/jam/nanoreno-2018,815.0,3064,NaNoRenO 2018,0,0,1,Yes
,2019-05-11 05:00:00,Highland Paranormal Society,Pamphlet Dungeon Jam,228,0,72,2019-04-01 05:00:00,https://www.itch.io/jam/pamphletjam,960.0,1087,Pamphlet Dungeon Jam,3,0,1,Yes
,2016-09-12 08:15:00,Everest Pipkin||loren schmidt,Fermi Paradox Jam,188,0,71,2016-09-02 04:00:00,https://www.itch.io/jam/fermi-paradox-jam,244.25,2983,Fermi Paradox Jam,0,0,2,Yes
,2019-08-31 17:30:00,Swords and Flowers||Takuma Okada||Jamila R. Nedjadi||Melody Watson||KiennaS,Hot Horror Jam,152,0,70,2019-07-26 16:00:00,https://www.itch.io/jam/hothorrorjam,865.5,3181,Hot Horror Jam,0,0,5,Yes
,2014-09-15 04:59:59,Caelyn Sandel,Ruin Jam 2014,75,0,68,2014-09-01 04:00:00,https://www.itch.io/jam/ruinjam2014,336.9997222222222,2309,Ruin Jam 2014,12,0,1,Yes
,2017-04-04 05:00:00,sakevisual,NaNoRenO 2017,439,0,68,2017-03-01 06:00:00,https://www.itch.io/jam/nanoreno-2017,815.0,2808,NaNoRenO 2017,0,0,1,Yes
,2019-08-22 01:00:00,Ludonaut||dom,A Game By Its Cover 2019,295,0,68,2019-06-30 22:00:00,https://www.itch.io/jam/a-game-by-its-cover-2019,1251.0,787,A Game By Its Cover 2019,0,0,2,Yes
,2019-07-28 17:00:00,Matthias Scherba,PICOWARE,158,0,66,2019-07-27 17:00:00,https://www.itch.io/jam/picoware,24.0,7368,PICOWARE,6,0,1,Yes
,2016-04-08 05:00:00,Cyanide Tea,NaNoRenO 2016,178,0,66,2016-03-01 06:00:00,https://www.itch.io/jam/nanoreno-2016,911.0,2540,NaNoRenO 2016,0,0,1,Yes
