game_genre,count
simulation,2575
shooter,3984
interactive fiction,1672
action,8632
,11752
puzzle,5926
platformer,7146
visual novel,1540
card game,409
adventure,5151
rhythm,537
fighting,719
racing,606
role playing,2682
survival,1673
strategy,1707
sports,451
educational,466
