jam_name,jam_url,jam_no_joined,jam_no_submissions
GameDevNetwork:  The Big Festive Game Jam - Theme: Surprise!,gamedevnetwork-the-big-festive-game-jam,237,30
Procedural Generation Jam 2015,procjam2015,237,97
NaNoRenO 2018,nanoreno-2018,235,72
CoronaDefoldJam,coronadefoldjam,233,39
PIZZA JAM (pizza prize),james-jam-pizzza-prize,232,59
Slow Game Jam,slow-game-jam,231,38
Fishing Jam 2,fishing-jam-2,231,39
Pamphlet Dungeon Jam,pamphletjam,228,72
The Pippin Barr 'GAME IDEA' Game Jam,the-pippin-barr-game-idea-game-jam,226,53
GamesPlusJam 2,gamesplusjam2,226,58
No Shit Sherlock Jam,no-shit-sherlock-jam,226,25
Nordic Game Jam 2016,ngj16,226,176
Twiny Jam,twiny,225,221
Rainbow Jam 2018,rainbowjam18,225,30
Games Plus Jam,gamesplusjam,224,73
Weekly Game Jam - Week 113,weekly-game-jam-113,223,52
Self-Care Jam,self-care-jam,222,35
"""Unnecessary Sequels"" - Awful Summer Jam 2018",awful-summer-jam-2018,221,60
2-Buttons Jam 2018,2-buttons-jam-2018,220,47
GameDevNetwork: Cherry Jam,game-dev-network-cherry-jam,217,42
LÖVE Jam,love2d-jam,217,32
Anti-fascist Game Jam - Game Jam Antifasciste - Game Jam Antifascista,antifa-game-jam,214,41
Lewd jam 2016,lewd-jam-2016,210,23
Metroidvania Month 5,metroidvania-month-5,208,22
JimJam: All Games Played Live On Stream,jimjam,207,98
Take Arms! Jam 2017,take-arms-jam,206,12
GDA JAM,gda-jam,206,35
DevSquad Summer Jam,devsquad-summer-jam,201,16
Tutorial Jam,tutorial-jam,201,30
Mini Jam 23: Time,mini-jam-23-time,200,56
2 Colors Game Jam,2-colors-game-jam,200,71
GameDevNetwork: Gooseberry Jam || THEME: YOU Are The Villain,game-dev-network-gooseberry-jam,199,40
DarkTober Game Jam 2018,darktober-game-jam-2018,196,41
"Summer Slow Jams July 2019: 3-Button, 3-Color Games",ssj3button3color,196,64
Weekly Game Jam - Week 110,weekly-game-jam-110,196,56
Summer Novel Festival,sunofes17,196,18
BeansJam Mobile,beansjam,195,81
Emotional Mecha Jam,sad-mecha-game-jam,194,176
Weekly Game Jam - Week 101,weekly-game-jam-101,193,28
notGDCJam 2019,notgdcjam2019,191,56
Pizza Jam (Pizza Prize!),pizzajam2019,190,54
DREAMJAM,dreamjam,189,62
Nokia 3310 JAM,3310jam,188,75
Fermi Paradox Jam,fermi-paradox-jam,188,71
Weekly Game Jam - Week 96,weekly-game-jam-96,186,45
The Tenth Creative Games Jam (Prizes),games-factory,186,30
Manifesto Jam,manifesto-jam,185,111
Mini Jam 33: Underwater,mini-jam-33-underwater,184,54
Leap Motion 3D Jam 2015,leapmotion3djam,183,180
GAMES MADE QUICK???,games-made-quick,183,31
Geta Game Jam 7,geta-game-jam-7,182,23
One Room (Bitsy Jam),one-room-bitsy,182,75
Dream Diary Jam 2 -Yume Nikki Jam-,dream-diary-jam-2-yume-nikki-jam-,181,30
Actual Adult Games,actual-adult-games,181,18
Bored Pixels Jam 3,bored-pixels-jam-3,180,40
The Mega RPG Jam,mega-rpg-jam,180,46
NaNoRenO 2016,nanoreno-2016,178,66
Godot Wild Jam #12 - Our One Year!,godot-wild-jam-12-one-year,177,31
World MytholoJam,world-mytholojam,177,20
TOJam - Flirteen With Danger,tojam13,176,140
GameMaker Studio 2 - Beta Jam,gms2betajam,175,46
Loading Screen Jam,loading-screen-jam,174,45
Summer Slow Jams June 2019: Arcade Games,ssjarcade,173,44
Linux Game Jam 2019,linux-game-jam-2019,173,32
Rainbow Jam 2019,rainbowjam19,173,31
Puzzle Jam [8 Bits to Infinity],puzzlejam,173,42
Gothic Novel Jam,gothic-novel-jam,172,45
PIZZA JAM (pizza prize),pizza-jam-pizza-prize,171,52
LÖVE Jam 2019,love2d-jam-2019,170,37
Summer RPG Game jam,rpg-summer-game-jam,170,10
Weekly Game Jam - Week 107,weekly-game-jam-107,169,56
Godot Wild Jam #2,godot-wild-jam-2,169,29
Mashup Jam ★ $500 GRAND PRIZE ★,mashup-jam,169,30
MakeCode Arcade Game Jam,makecode-game-jam,169,24
Paint Jam 2017,paint-jam,168,24
Pizza Jam (Pizza prize!),pizza-jam4,168,45
All You Do is Click Click Click,click-click-click,167,26
Weekly Game Jam - Week 112,weekly-game-jam-112,167,38
The Linux Game Jam 2017,linux-jam-2017,167,52
Mini Jam 36: Nature,mini-jam-36-nature,166,42
Yuri Game Jam 2016,yuri-game-jam-2016,166,50
Mini Jam 36: Nature,mini-jam-36-nature,166,42
Geta Game Jam 8,geta-game-jam-8,166,41
Modd.io Game Jam Contest - January,moddio-game-jam,166,5
Emojiam,emojiam,165,15
Nordic Game Jam 2017,ngj17,165,138
Mini Jam 25: Spirits,mini-jam-25-spirits,165,47
Pixel Horror Jam 2017,pixelhorrorjam2,165,19
Not A Game Jam Game Jam,not-a-game-jam-game-jam,163,74
Variety Jam - NSFW Valentines,nsfw-valentines,163,17
FLATGAME Annual 2016,flatgame-annual-2016,163,56
Not Going to GDC Jam,notgdcjam,163,25
Weekly Game Jam - Week 109,weekly-game-jam-109,162,38
$102 Adventure Game Challenge,102-adventure-challenge,162,21
Godot Wild Jam #13,godot-wild-jam-13,160,30
GDL - July Jam,gdl-july-jam,160,40
PICOWARE,picoware,158,66
Godot Wild Jam #10,godot-wild-jam-10,158,31
A Secret (Bitsy Jam),a-secret,157,45
Unity Course Community Jam,unity-course-community-jam,157,26
IO Game Jam (Over $500 in Prizes),io-game-jam,156,9
Christmas GameJam 2016,xmas2016,155,20
Hot Horror Jam,hothorrorjam,152,70
GDQ One Mechanic Game Jam 4,omgjam4,152,57
Weekly Game Jam - Week 97,weekly-game-jam-97,152,35
Weekly Game Jam - Week 102,weekly-game-jam-102,152,33
Destruction JAM,destructionjam,151,21
Roll To Craft: A Tabletop Jam,rtbjam,151,38
Weekly Game Jam - Week 90,weekly-game-jam-90,151,42
Timdred Jam - COMMUNITIES UNITE!,timdred-jam,149,49
Simple Jam,simple,149,38
Rousr's Virtual Pet Jam,virtual-pets,148,44
Mini Jam 30 + GBStudio,mini-jam-30-gameboy,148,34
Kuwait Game Jam 2019,kuwait-game-jam-2019,147,14
32+ players multiplayer game jam (modd.io),32-players-or-more-multiplayer-game-jam,147,6
Short and Sweet Jam,shortnsweet,147,36
Christmas Jam 2018,christmas-jam-2018,147,36
GIAW - Game In A Week #2,giaw2,147,32
Game Jam Plus,game-jam-plus-,146,69
DISCORD JAM,discord-jam1,145,35
Geta Game Jam 9,geta-game-jam-9,145,33
Lartu's Mini-RPG One Week Jam,lartus-mini-rpg-one-week-jam,145,23
Leap Motion 3D Jam 2014,leapmotion3djam2014,145,146
Weekly Game Jam - Week 108,weekly-game-jam-108,144,32
Weekly Game Jam - Week 114,weekly-game-jam-114,144,30
frog jam,frog-jam,143,44
Star Trek Jam,star-trek-jam,143,14
Godot Wild Jam #6,godot-wild-jam-6,143,34
Godot Community Game Jam - Dec 2016/Jan 2017,godotjam122016,143,39
Fantasy Console Game Jam #1,fantasy-console-game-jam-1,143,31
Pizza Jam 3 - (PIZZA PRIZE),pizza-jam-3-pizza-prize,142,31
Legacy Jam,legacy-jam,142,30
The Unofficial Gameboy Jam,unofficial-gbjam1,141,36
Mini Jam 32: Explosions,mini-jam-32-explosions,141,38
7DFPS 2014,7dfps,141,138
Home of Nerds Game Jam,home-of-nerds-game-jam,140,41
Jam Jam Talentum Online,talentum-online,140,43
Lisp Game Jam 2018,lisp-game-jam-2018,139,26
Summer Slow Jams August 2019: Edutainment Games,ssjedutainment,138,35
Paint Jam 2019,paint-jam-2019,138,33
Zelda-Like Game Jam,zelda-like-game-jam,138,19
PaperJam,paperjam,136,20
Daydream (Bitsy Jam),daydream,136,38
Myst Jam,myst-jam,136,38
Game Zanga 6,game-zanga-6,136,76
Dream Diary Jam 3,dream-diary-jam-3,136,27
GAMINP JAM #1,gaminpjam1,135,26
Giant ROM 5,giantrom5,135,61
Friendship Jam,friendship-jam,135,33
Fantasy Console Game Jam #2,fantasy-console-game-jam-2,133,20
Greek MytholoJam,greek-mytholojam,132,24
'So bad it's good' Jam 2018,sbigjam2018,131,35
Toolbox Jam,toolbox-jam,130,39
Queerly Representing the Underrepresented,queerly-representing,130,23
Godot Wild Jam!,godot-wild-jam,130,19
Weekly Game Jam - Week 78,weekly-game-jam-78,130,39
💀 SCREAM EMPIRE 💀,scream-empire,130,17
#RainbowJam16,rainbowjam16,129,31
Bite Sized Horror Game Jam 2018,bite-sized-horror-game-jam-2018,128,30
GameDevNetwork: Fig Jam || THEME: Hidden Secrets,game-dev-network-fig-jam,128,21
FLATJAM 2017,flatgame-annual-2017,128,22
Pre-Indie Game Jam,preindie,127,36
Weekly Game Jam - Week 106,weekly-game-jam-106,127,38
Procedural Generation Jam 2014,procjam2014,127,124
Linux Game Jam 2018,linux-game-jam-2018,126,30
1-Room RPG Jam,1-room-rpg-jam,126,13
Nordic Game Jam 2019,ngj19,126,103
7 Day Broughlike,broughlike,126,35
Virtus Community Game Jam,virtusjam,126,15
VR JAM 2016,vrjam16,126,29
Weekly Game Jam - Week 50,weekly-game-jam-50,126,41
Touhou Fan Game Jam 4,touhou-jam-4,125,46
VAMPIRE JAM,vampire-jam,124,29
Weekly Game Jam - Week 89,weekly-game-jam-89,124,26
March of the Wizards 2k19!,march-of-the-wizards-2k19,124,78
Slime Jam!,slime-studio-jam,124,34
DISCORD JAM #2,discord-jam-2,124,35
Yaoi Game Jam 2018,yaoijam18,123,25
Dev Squad Jam: Halloween,dev-squad-halloween,123,20
Mini Jam 28: Pirates,mini-jam-28-pirates,123,45
Mini Jam 28: Pirates,mini-jam-28-pirates,123,45
Weekly Game Jam - Week 98,weekly-game-jam-98,122,26
Weekly Game Jam - Week 80,weekly-game-jam-80,122,26
1-Room RPG Jam #2,1-room-rpg-jam-2,122,19
Maximum Monster Month!,maximum-monster-month,122,29
Weekly Game Jam - Week 88,weekly-game-jam-88,122,17
Open Jam 2019,open-jam-2019,122,28
GameDevNetwork: Elderberry Jam - THEME: Summoning,game-dev-network-elderberry-jam,122,18
