jam_name,jam_url,jam_no_joined,jam_no_submissions
Summer Novel Festival,sunofes19,79,5
Weekly Game Jam - Week 94,weekly-game-jam-94,79,18
Bored Pixels Jam 5,bored-pixels-jam-5,79,16
GDL - July Jam,gdl-july-jam-2,78,18
Summer Novel Festival,sunofes18,78,9
Winter Wizard Jam,winter-wizard-jam,78,30
bubblegum jam,bubblegum,78,21
Anything Goes Jam,anything-goes-jam,78,42
Wizard Jam 7,wizard-jam-7,78,23
AGDG Space Jam,agdg-space-jam,78,19
Polyrealm Game Jam,polyrealm-game-jam,78,8
#iluJam 3: Tokyo Drift,ilujam3,77,10
Weekly Game Jam - Week 92,weekly-game-jam-92,77,23
QaziJam 9 - Game Jam For Good,qazijam9,77,40
GDL  March Madness Jam,gdl-march-madness-jam,77,16
Snow (Bitsy Jam),snow-bitsy,77,36
#RemakeJam 2,remakejam-2,76,19
The Godot 2MB Challenge,godot2mb,76,12
Otome games jam,otome-games-jam,76,7
Bored Pixels Jam,bored-pixels-jam,76,21
Weekly Game Jam - Week 65,weekly-game-jam-65,76,28
HLG Jam,high-level-jam2,76,19
Simplicity | 02,simplicity-02,76,9
DigitalArtJam,digitalartjam,75,11
Dogpit Jam 2018,dogpit-jam-2018,75,18
Harvest (Bitsy Jam),harvest-bitsy,75,27
Mini Jam 20: Music,mini-jam-20-music,75,26
Ruin Jam 2014,ruinjam2014,75,68
8x8 Game Jam,8x8-game-jam,75,24
8 Bits to Infinity ~ Palette Jam,palette-jam,75,19
MS Paint Game Jam,ms-paint-game-jam,75,24
The Emotions & Feelings Jam,emotional-jam,75,17
idkjam,idkjam,75,21
Cat-Boy/Girl Game Jam!,cat-boygirl,75,4
Nonbinary Game Jam,nonbinary-game-jam,75,15
Standing On The Sofa Jam,standingonthesofajam,75,4
Harvest (Bitsy Jam),harvest-bitsy,75,27
GDL - Quantum Jam,gdl-quantum-jam,75,11
Weekly Game Jam - Week 48,weekly-game-jam-48,75,23
Cosmo D's Game Jam 1 - The City,cosmo-ds-game-jam-february-2019,74,11
100 Dollar Game Jam,100-dollar-game-jam,74,19
Food Jam!!,good-eats,74,12
TK Game Jam 2018,tk-game-jam-2018,74,48
Weekly Game Jam - Week 30,weekly-game-jam-30,74,23
FEMICOM Game Jam #4: Make cute PONG!,makecutepong,74,20
Touhou Fan Game Jam 2,touhou-jam-2,74,25
Jamingtons 6.0,jamingtons6,74,11
'So bad it's good' Jam,so-bad-its-good-jam,74,27
8 Bits to Infinity ~ Mashup Jam,mashupjam,74,20
GDL - September Jam,gdl-september-jam,74,13
ScoreSpace Jam #5 [Presented by Shacknews],scorejam5,74,20
Metroidvania Month 4,metroidvania-month-4,73,5
2D Platformer Jam,2d-platformer-jam,73,19
Weekly Game Jam - Week 52,weekly-game-jam-52,73,28
sub-Q Magazine Love Jam 2018 #subQjam,subqjam,73,27
dog jam,dog-jam,72,14
Post-Apocalyptic Jam 2017,post-apocalyptic-jam-2017,72,9
TweetTweetJam 2,tweettweetjam-2,72,60
Wizard Jam 8,wizard-jam-8,72,34
RPG Maker Jam #2,rpgmakerjam2,72,32
Summer Slow Jams August 2018: Parody Games,ssjparody,72,27
The Krass-N.G. Jam 3!,krassjam3,72,24
Mini Jam 15 Technology,mini-jam-15-technology,72,23
Optical Jam #5,optical-jam,71,15
48 Secret Jam - July 2019,48-secret-jam-june2019,71,21
Earth Empathy Jam,earth-empathy-jam,71,20
Weekly Game Jam - Week 60,weekly-game-jam-60,71,10
Godot Community Game Jam - June 2016,godotjam062016,71,17
JS 48 - Episode 1,js48-1,71,16
Super Mega Jam (Free Theme),super-mega-jam-free-theme,71,16
CFNGamejam#2,cfngamejam2,71,11
GAME JAMuary,game-jamuary,70,10
TweetTweetJam,tweettweetjam,70,59
GDL January Jam,gdl-january-jam,70,19
Weekly Game Jam - Week 40,weekly-game-jam-40,70,19
Stop Motion Game Jam 2018,stop-motion-game-jam-2018,70,8
Emotional Game Jam 2018,emotionalgamejam2018,70,25
Cultura Abierta,cultura-abierta,70,30
Gamecodeur Game Jam #13,gamecodeur-gamejam-13,69,46
Weekly Game Jam - Week 42,weekly-game-jam-42,69,22
Yaoi Game Jam 2017,yaoijam17,69,15
Games on Demand,games-on-demand,69,16
Gamecodeur Game Jam #12,gamecodeur-gamejam-12,69,50
X-Jam 2016,XJam2016,69,10
OpenGameArt Game Jam #2,opengameart-game-jam-2,69,20
GDL - January Jam,gdl-january-jam-2,68,20
Weekly Game Jam - Week 7,weekly-game-jam-7,68,14
Gamecodeur Game Jam #11,gamecodeur-gamejam-11,68,46
960*144,960144,68,12
GDL - January Jam,gdl-january-jam-2,68,20
DungeonJAM 2019,dungeonjam,68,10
trans gal jam,trans-gal-jam,67,7
Stop Motion Jam 2019,stop-motion-game-jam-2019,67,9
Steamy GameJam,steampunkprogrammer-jam,67,12
SCREAM SEASON,scream-season,67,18
Bishoujo Jam,bishoujo-jam,67,1
Summer Slow Jams July 2018: Location-Based Games,ssjlocationbased,67,23
The Emotions & Feelings Jam,emotional-jam-togetherness,67,18
CUJV GameJam #01,cujv-gamejam-01,67,20
FC dev jam,fc-dev-jam,67,9
Twine Games Jam,twine-games-jam,67,15
⑨ Jam,9,67,35
Mini Jam 12 -Heroes-,mini-jam-12-heroes-,66,18
Divination Jam,divinationjam,66,19
Weekly Game Jam - Week 18,weekly-game-jam-18,66,14
mini jam,mini-jam,66,19
Unijam - Theme mixup!,unijam,66,9
Slime Jam 2000,slimejam2000,66,12
Emotional Game Jam 2019,emotionalgamejam,66,20
TK Game Jam 2019,tk-game-jam-2019,65,52
Mixtape (Bitsy Jam),mixtape-bitsy,65,26
DiveJam 2,divejam2,65,15
Roll-the-Dice Game Jam,roll-the-dice-game-jam,65,15
Touhou Fan Game Jam 3,touhou-jam-3,65,32
Terminal Jam,terminal-jam,65,9
Mini Jam 10 -Micro-,mini-jam-10-micro-,65,23
Weekly Game Jam - Week 29,weekly-game-jam-29,65,17
VR-Jam 2017,vr-jam,65,6
Cats (Bitsy Jam),cats-bitsy,64,35
Weekly Game Jam - Week 74,weekly-game-jam-74,64,9
CFNGamejam#3,cfngamejam3,64,13
The Sublime (Bitsy Jam),sublime-bitsy,64,21
Weekly Game Jam - Week 54,weekly-game-jam-54,64,16
Weekly Game Jam - Week 111,weekly-game-jam-111,64,15
Pro Wrestling Game Slam 2k19,pw-game-slam-2k19,64,15
Weekly Game Jam - Week 46,weekly-game-jam-46,64,24
ボイロゲームジャム,voiceroid-game-jam,64,51
Construct 3 Public Beta Jam,c3jam,64,2
Fairytale,fairytale,64,7
The Public Domain Jam 3,the-public-domain-jam-3,64,13
Rayuela de Arena 2019 - Gamejam Narrativa,rayuela-de-arena-2019-jam,64,15
Art Competition!,art-competition,64,3
oh no (bitsy jam),oh-no-bitsy,64,42
Minimalistic Jam,minimalistic-jam,64,24
Spring 2016 Lisp Game Jam,spring-2016-lisp-game-jam,63,15
🐝 Bees (Bitsy Jam),bees-bitsy,63,28
Alt Ctrl Game Jam 2016,altctrl2016,63,23
🐝 Bees (Bitsy Jam),bees-bitsy,63,28
Gamecodeur Game Jam #15,gamecodeur-gamejam-15,63,28
Gamecodeur Game Jam #21,gamecodeur-gamejam-21,63,30
Enter the (Multi-User) Dungeon,enterthemud,62,10
The Krass-N.G. Jam 2!,krassjam2,62,22
Shape Jam,shape-jam,62,16
Tooth (Bitsy Jam),tooth-bitsy,62,30
Tech Demo 2: Attack of the Platformer,tech-demo-2,62,30
Gamecodeur Gamejam #10,gamecodeur-gamejam-10,62,43
Basic Block Jam,single-block-jam,62,14
Gamecodeur Game Jam #17,gamecodeur-gamejam-17,62,28
Inside the Box Tabletop Jam,inside-the-box-tabletop-jam,62,24
Sykoo's Community Game Jam 2,sykoos-jam,62,17
GDL Anniversary Jam,gdl-anniversary-jam,61,11
Lewd Jam 2018,lewd-jam-2018,61,3
Spooky Jam 2: You are the Monster!,spooky-jam-2-you-are-the-monster,61,12
Friendship,friendship,61,7
Unijam - Theme mixup! #2,unijam-2,61,5
Summer Novel Festival,sunofes16,61,11
"FemHype Presents: Sugar, Sweets, & Jam!",sugar-sweets-jam,61,11
100 Dollar Prize Week Jam,cowboys-week-jam,61,17
Highsight Game Jam #1 (Atari Remakes!),highsight-1,61,24
Weekly Game Jam - Week 57,weekly-game-jam-57,60,10
TOM HANKS JAM,hanks-jam,60,16
Game Zanga 5,game-zanga-5,60,58
Quad Jam Summer 2019,quad-jam-summer,60,15
One Hit Point,1hp,60,17
48 Secret Jam - April - 2018,48-secret-jam-april-2018,60,9
Mini Jam 22: Anime,mini-jam-22-anime,60,11
'So bad it's good' Jam 2019,sbigjam2019,60,15
Weekly Game Jam - Week 75,weekly-game-jam-75,60,11
Mood Change: A Game of Emotion,devsquadjam5,60,13
"Orbital Game Jam, Round 2",orbital-game-jam-2,60,14
GDL - Metal Monstrosity Jam,gdl---metal-monstrosity-jam,60,15
No Comfort Jam,no-comfort-jam,60,6
Weekly Game Jam - Week 58,weekly-game-jam-58,60,14
Weekly Game Jam - Week 56,weekly-game-jam-56,60,21
GDL - Jamming January Jam,gdl-Jamming-January-Jam,60,14
LocusJam,locusjam,60,36
QaziJam 9.5,qazijam9point5,59,19
Gutter Jam 3,gutter-jam-3,59,10
Mini Jam 11 -Harvest-,mini-jam-11-,59,15
Wizard Jam 6,wizard-jam-6,59,30
Geta Game Jam #1: Chaos and Order,geta-game-jam-01,59,9
Lewd jam 2017,lewd-jam-2017,59,15
Weekly Game Jam - Week 53,weekly-game-jam-53,59,24
Roman MytholoJam,roman-mytholojam,59,6
Gamecodeur Game Jam #16,gamecodeur-gamejam-16,59,32
Pixel Game Jam #1,pixel-game-jam,59,5
KIDSJAM,kidsjam,59,10
One Day Jam,one-day-jam,58,16
ghost jam,ghost-jam,58,9
Weekly Game Jam - Week 67,weekly-game-jam-67,58,12
NightJam #1,nightjam,58,5
Weekly Game Jam - Week 73,weekly-game-jam-73,58,12
Touhou Fan Game Jam,touhou-jam,58,16
mini jam 3rd edition,mini-jam3rdedition,58,14
DiveJam,divejam,58,12
Tarot Jam,tarot-jam,58,10
Confession Jam 2,confession-jam-2,58,5
Game D3V JAM V,game-d3v-jamv,58,10
Gamecodeur Gamejam #8,gamecodeur-gamejam-8,58,23
Bullet Hell Game Jam #1,bullethellgamejam1,58,17
GDL - May Jam,gdl-may-jam,57,20
Wide-Dot Pixel Game Jam 2017,wide-dot-pixel-game-jam-2017,57,3
Otome Games Jam (2019),otome-games-jam-2019,57,6
[Festive Spirits] Awful Holiday Jam (2018),awful-holiday-2018,57,15
Different Colors Game Jam,different-colors-game-jam,57,13
DateMate Jam,datematejam,57,2
NES Jam,nes-jam,57,16
Never Alone Jam,never-alone-jam,56,14
Digital Art Jam #3,digital-art-jam-3,56,15
Tasty Leftovers Jam,tasty-leftovers-jam,56,5
A 'Tru 2D' Game Jam,a-tru-2d-game-jam,56,25
"Tech Demo 3: Ready, Fight, Finish Him!",tech-demo-3,56,20
Unity vs Unreal vs Godot: The Threeway Battle (Season 1),unity-vs-unreal-vs-godot-the-threeway-battle,56,6
Weekly Game Jam - Week 70,weekly-game-jam-70,56,14
Mech (Bitsy Jam),mech-bitsy,56,31
The Public Domain Jam,the-public-domain-jam,55,50
Summer Slow Jams 1: Cooperative Multiplayer,2016-summer-slow-jams-1,55,10
GameDevNetwork: Honeydew Jam || THEME: Where is Everybody?,gamedevnetwork-honeydew-jam,55,8
48 Secret Jam - January 2018,48-secret-january-2018,55,8
Zine Jam 2018,zine-jam-2018,55,15
Gift Jam 2017,gift-jam-2017,55,12
"Killjoys, make some noise",killjoys,55,11
Fabuludus 2016,fabuludus-2016,55,52
Lewd Jam 4,lewd-jam-iv,55,4
January SPACE Horror Jam,january-horror-jam,55,4
Game Dev League December Jam,game-dev-league-december-jam,54,11
MAGICAL GIRL jam,magical-girl-jam,54,11
GDQ One Mechanic Game Jam 2,gdq-one-mechanic-game-jam-2,54,20
GDL - Fishy Jam,gdl-fishing-jam,54,14
Utah Indie Game Jam 2016,utah-indie-game-jam-2016,54,15
Desert Bus for Hope 10 Game Jam,dbfh10jam,54,11
Neurodiversity in Games Jam,neurodiversity-in-games-jam,54,10
Masks (Bitsy Jam),masks-bitsy,54,14
GDL - April Jam,gdl-april-jam,54,10
48 Secret Jam - 1 year anniversary!,48-secret-jam-1-year-anniversary,54,7
Kuso Game Jam 2016,kuso-game-jam-2016,54,24
Masks (Bitsy Jam),masks-bitsy,54,14
The 1 Class Jam,the-1-class-jam,53,15
Value Your Work Jam,value-your-work-jam,53,37
CFN Halloween Jam 2,cfn-halloween-jam-2,53,10
SPACE COWBOY JAM,space-cowboy-jam,53,48
Traintracks (Bitsy Jam),traintracks,53,13
No Excuses Game Jam,noexcusesgamejam,53,2
Weekly Game Jam - Week 66,weekly-game-jam-66,53,11
Remember the Dead,remember-the-dead,53,8
Worldbuilding Jam,worldbuilding,53,13
Desert Bus for Hope 2017 Game Jam,desert-bus-for-hope-2017-game-jam,53,13
Summer Slow Jams June 2018: Minigames,ssjminigames,53,25
Weekly Game Jam - Week 20,weekly-game-jam-20,53,10
Geta Game Jam #3: Ten Seconds,geta-game-jam-3,53,13
BARA JAM 2018,barajam-2018,52,9
Tropes Jam,tropes-jam,52,15
GameJam Brasil  #1,gamejam-brasil-semanal-1,52,11
Corgi Jam,corgi-jam,52,10
Virtual Reality Global Archiact Jam,global-archiact-jam,52,13
Weekly Game Jam - Week 99,weekly-game-jam-99,52,15
Jam for Change,jam-for-change,52,24
FLATJAM 2018,flatjam2018,52,11
Ace Jam 2019,ace-jam-2019,52,12
SparksJam,sparksjam-1,52,13
48 Secret Jam - May - 2018,48-secret-jam-may-2018,51,11
Surprise Pizza Jam (Pizza Prize!),suprise-pizza-jam-pizza-prize,51,17
48 Secret Jam - June - 2018,48-secret-jam-june-2018,51,13
Stop Motion Game Jam 2017,stop-motion-game-jam-2017,51,7
Sensei Game Jam 2017,sensei-game-jam-2017,51,32
Game Jam Survival Kit,game-jam-survival-kit,51,5
The Sem Jam - Sept 2018,thesemjam-0318,51,10
Founders Game Jam,foundersjam,51,10
De Space Jam! - *Prizes*,de-space-jam,51,10
Fuck This Jam,fuck-this-jam,50,46
MonoGame Jam - Footstep,mgjam,50,7
Weekly Game Jam - Week 39,weekly-game-jam-39,50,16
Sensei Game Jam 2018,sensei-game-jam-2018,50,33
Sensei Game Jam,sensei-game-jam,50,33
The Mystic Western Game Jam,mysticwestern,50,48
Space Whales (Bitsy Jam),space-whales-bitsy,50,22
Unity vs Unreal vs Godot: The Threeway Battle (Season 2),unity-vs-unreal-vs-godot-the-threeway-battle-season-2,50,7
NM Game Jam 2018,nm-game-jam-2018,50,10
Gamecodeur Gamejam #7,gamecodeur-7,50,26
Composer Jam,composer-jam,50,15
TwitsyBot Jam,twitsybot-jam,50,22
Hardcore Punk Jam,hardcore-punk-jam,50,7
MonoGameJam,monogamejam,49,10
The Pippin Barr Game Idea Jam #2: The Museums Jam,the-museum-jam,49,9
Rage Jam,rage-jam,49,11
Can you Survive this Jam? 2017,can-you-survive-this-jam,49,8
Everything allowed Jam,everything-allowed-jam,49,23
Cult of Jabril(s) Game Jam,cult-of-jabrils,49,18
GC Jam 3,gc-jam-3,49,14
GDL - Love is in the Air Jam,gdl---love-is-in-the-air-jam,49,7
Freesource Jam #1,freesourcejam,49,8
The 1st GameShell Game Jam (2019Q1),gameshell,49,11
Climate Jam 2018,climate-jam-2018,49,12
Lewd Jam 3,lewd-game-jam-3,49,4
Can you Survive this Jam? 2017,can-you-survive-this-jam,49,8
Alpha Jam 2017,alpha-jam,49,10
Rage Jam,rage-jam,49,11
MS Paint Jam 2k17,ms-paint-jam-2k17,49,13
Non-Game Game Jam,non-game-jam,49,6
Cure Light Wounds Jam,cure-light-wounds-jam,48,23
Winter Jam 2019,winterjam2019,48,15
2019 Spring Scramble,2019-spring-scramble,48,43
Pixel Art Decades Jam!,pixelartdecades,48,13
Weakness Week 2019,weakness-week,48,18
Ludum Dare 38 with SGD at UVA,ludum-dare-38-with-sgd-at-uva,48,5
Hell Jam,hell-jam,48,3
Weekly Game Jam - Week 19,weekly-game-jam-19,48,16
Weekly Game Jam - Week 86,weekly-game-jam-86,48,27
sok-stories jam,sok-stories-jam,48,21
Lewd Jam EXTEND,lewdjam2017,47,10
Geta Game Jam #4: Chain Reaction,geta-game-jam-4,47,5
GDL - February Change Jam,gdl-feb-change-jam,47,13
QaziJam 7,qazijam7,47,23
Metroidvania Month 2,metroidvania-month-2,47,7
Digital Night Studio's Ludum Dare 40,digital-night-studios-ludum-dare-40,47,11
Beer SK,beersk,47,19
Mini Jam 7 - Greek Mythology-,mini-jam-7-greek-mythology-,47,11
Tell a Story,tell-a-story,47,13
The RNJam,rnjam,47,10
100 Dollar Game Jam,100-dollar-game-jam-week3,47,9
Utah Indie Game Jam 2017,utah-indie-game-jam-2017,47,18
Autumn Lisp Game Jam 2018,autumn-lisp-game-jam-2018,47,12
The Apollo GC Jam - 2019,agc-jam,46,5
RPG Biz's 2D One Map Challenge (Game/Software Prizes),rpg-bizs-2d-one-map-challenge,46,13
Jumbled Up July 2k19!,jumbledupjam,46,23
Alberta Game Jam,albertagamejam,46,27
Role Play Game Jam,role-play-game-jam,46,4
Random generation game jam,procedural-generation-game-jam,46,11
UnityGameJam2018,unitygamejam2018,46,4
KUSO Game Jam 2019,kuso-game-jam-2019,46,29
Weekly Game Jam - Week 38,weekly-game-jam-38,46,13
mini jam 2nd edition,mini-jam2ndedition,46,9
The Indie Game Reading Club Presents: #OnRampJam,onrampjam-igrc,46,20
GDL June Gene Jam,gdl-june-gene-jam,46,16
Retro Remake Jam,retroremakejam,46,10
Out of the frame!,out-of-the-frame,46,7
UnityGameJam2018,unitygamejam2018,46,4
Insanity Jam 5,insanityjam5,45,6
Weekly Game Jam - Week 21,weekly-game-jam-21,45,15
Discord RPG Jam,discord-rpg-jam,45,11
2D Game Jam! #1,2d-game-jam-1,45,5
Jamingtons,jamingtons,45,12
Radio Silence (Bitsy Jam),radio-silence,45,19
Kuwait Game Jam 2017,kuwait-game-jam-2017,45,9
T-Shirt Jam ( win ya'self a shirt! ),t-shirt-jam,45,9
Jam Tycoon Tycoon Jam,jam-tycoon-tycoon-jam,45,2
ANDiJam #1 (Android),andijam,45,9
Fantasy Console Game Jam #4,fcgj4,45,14
JAMUARY! 2018,jamuary-2018,45,18
48 Secret Jam - Oktober - 2018,48-secret-jam-oktober-2018,45,8
Tech Demo 4 - Do a barrel roll!,tech-demo-4,45,17
INDIGESTIBLE JAM,indigestible-jam,45,7
Weekly Game Jam - Week 22,weekly-game-jam-22,44,8
A Game By Its Cover 2015,a-game-by-its-cover-2015,44,41
Steem Monsters $1000 Invitational +$1000 in bonus loot,steem-monsters-1000-invitational,44,10
"Scientific game jam ╘[◉﹃◉]╕popularize a Ph.D, mettez la science en jeu",scientific-gamejam---vulgarisons-mon-doctorat,44,10
Kuwait Game Jam,kuwait-game-jam,44,4
The Krass-N.G. Jam!,krass-jam,44,25
Hangover Game Jam 2016,hangover-game-jam-2016,44,12
BTW Jam,btw-jam,44,9
Unifae Game Jam 2019,unifae-game-jam-2019,44,11
Moss (Bitsy Jam),moss-bitsy,44,15
Gift Jam 2018,gift-jam-2018,44,15
Tarot (Bitsy Jam),tarot-bitsy,44,19
Zero Words vol.2,zero-words-gamejam-2,44,15
Weekly Game Jam - Week 26,weekly-game-jam-26,44,15
Adventuron CaveJam,cavejam,44,11
9 Day Metroidvania 2018,9-day-metroidvania,44,6
Buddy Jam 3,buddy-jam-3,43,3
Gamecodeur #6,gamecodeur-6,43,28
GDL July JiggleJam,gdl-july-jiggle-jam,43,10
Molnija Jam,molnija,43,5
Hard-Boiled Wonderland,hard-boiled-wonderland,43,5
Weekly Game Jam - Week 55,weekly-game-jam-55,43,20
Cult of Jabril(s) XMAS Jam,cult-of-jabrils-xmas-jam,43,7
BOOOM! The 3rd GameShell Game Jam (2019Q3),gameshell-19q3,43,22
Weekly Game Jam - Week 85,weekly-game-jam-85,42,7
D&D Character Jam,dd-character-jam,42,2
Weekly Game Jam - Week 36,weekly-game-jam-36,42,14
🐌 Snails (Bitsy Jam),snails-bitsy,42,28
#30daydev,30daydev,42,6
Sykoo's Elite Devs Game Jam 3,elite-devs-game-jam,42,21
belonging outside belonging jam,belonging-outside-belonging-jam,42,10
The Krass-N.G. Jam 4!,krassjam4,42,16
#FinishThatRemakeJam,finishthatremake,42,13
NESmaker Jam ★ HYPE ★ NESmaker Pro-Gold GRAND PRIZE,nesmaker-hypejam,42,15
D&D Character Jam,dd-character-jam,42,2
GM's Hammer Jam,hammer-jam,42,9
libGDX Jam August 2019 - Theme: One Room,libgdx-jam-august-2019,42,10
Giant ROM 3,giantrom3,42,27
🐌 Snails (Bitsy Jam),snails-bitsy,42,28
banana jam,banana,42,13
Weekly Rainbow Jam - Week 4,weekly-rainbow-jam-week-4,42,7
Kuso Game Jam 2017,kuso-game-jam-2017,42,32
AGDG's Halloween Gamejam 2015!,agdg-halloween-gamejam,42,19
Corona Blitz 2017.01,corona-blitz-2017-01,42,17
NESmaker Jam ★ HYPE ★ NESmaker Pro-Gold GRAND PRIZE,nesmaker-hypejam,42,15
Social Game Jam (Great prizes in the info!),social-game-jam-hosted-by-tiltspottv,42,5
Met Jam,met-jam,42,13
Crap Games Jam,crap-games-jam,41,23
GEMSJam,gems-jam,41,9
[60 Seconds] Awful Summer Jam 2019,awful-summer-2019,41,17
MindJam 2016,mindjam2016,41,1
QaziJam 8 - Now In A Jar,qazijam8,41,16
Magicavoxel Game Jam!,magicvoxel-game-jam,41,3
Pixel Art Game 1M,pixel-art-1m,41,11
4 Hour Jam #3,4-hour-jam-3,41,22
The Gutter Arcade Shmup Em Up,gutter-arcade-shmup-em-up,41,9
Weekly Game Jam - Week 12,weekly-game-jam-12,41,8
Lisp Game Jam 2017 (Easy Mode),lisp-game-jam-2017-easy-mode,41,8
Jamingtons 3.0,jamingtons3,41,13
High Level Jam #1,high-level-jam-1,41,15
Unity One Script Challenge,unity-one-script-challenge,41,4
Doom Mod Jam - 2-Bit Game Jam,2bitgamejam,41,1
KIWIJAM17,kiwijam17,41,25
Visual Essay Jam,visual-essay-jam,41,25
★★ TyranoBuilder Summer Game Jam 2015! ★★,tyranojam15,41,35
Summer Christmas,summerchristmas,41,8
BoltJam #1,boltjam-1-,41,14
Games Factory Jam,games-factory-3,40,11
Optical Optimize,optical-optimize,40,16
The Back to School Game Jam,the-back-to-school-game-jam,40,4
r/Vive Summer's End Game Jam,vive-summers-end-game-jam,40,14
Gamecodeur #4,gamecodeur-4,40,16
Weekly Game Jam - Week 28,weekly-game-jam-28,40,12
RPG Maker Games in 1 Hour,rpgmaker1hour2,40,28
LCD-Jam (100€ cash prizes),lcd-jam,40,14
48 Secret Jam - February 2018,48-secret-jam-february-2018,40,5
Weekly Game Jam - Week 32,weekly-game-jam-32,40,10
ReJam,rejam,40,2
Make-A-Thing Jan 2018,make-a-thing-jan-2018,40,11
UDGJ #1,unofficial-defold-game-jam-1,40,13
ScoreSpace Jam #4,scorejam4,40,14
Weekly Game Jam - Week 8,weekly-game-jam-8,40,6
NM Game Jam 2017,nm-game-jam-2017,40,11
SUGAR Jam,sugar-game-jam,40,5
LCD-Jam (100€ cash prizes),lcd-jam,40,14
Spain Game Devs Jam!,spain-game-devs-jam,40,15
Voxel Game,voxel,39,2
Clicker Jam 2,mrquickgame-clicker-jam-2,39,11
MálagaJam Weekend VI,mjwvi,39,34
Hangover Game Jam 2019,hangover-game-jam-2019,39,11
Odyssey Jam,odysseyjam,39,9
Search For The Truth,search-for-the-truth,39,3
Weekly Game Jam - Week 69,weekly-game-jam-69,39,7
UT Game Jam 2019,ut-game-jam-2019,39,21
Game Dev League Area 51 Jam,game-dev-league-area-51-jam,39,11
Jamingtons 7,jamingtons7,39,12
Homa Games Monthly Jam,hg-monthly-jam-01,39,10
Make-A-Thing May 2017,make-a-thing-may-2017,39,8
Forge Jam VII - Global Game Jam 2019,forge-jam-vii-global-game-jam-2019,39,15
Mental Illness (Bitsy Jam),mental-illness-bitsy-jam-,39,9
Game Creation Organization Online Jam,game-creation-organization-online-jam,39,7
Weekly Game Jam - Week 41,weekly-game-jam-41,39,10
NaNoRenO 2015,nanoreno-2015,39,36
Gamecodeur Gamejam #9,gamecodeur-gamejam-9,39,16
BBIT 4 Special Topics Game Programming (Game Jam 2018),bbit-gameprog,39,16
Valentines Jams,valentines-jams,39,10
Metroidvania Jam,metroidvania,39,2
GameGirl Jam,gamegirl-jam,39,9
Weekly Game Jam - Week 6,weekly-game-jam-6,39,6
Potluck Game Jam,potluck-game-jam,39,7
Novices Now!,novices-now,39,17
"BREATHTAKING: ""Redesign Your Logo""",redesign-your-logo,38,4
Undefined First Game Jam,undefined-first-game-jam,38,11
itsy bitsy jam - rain,itsybitsyseptember,38,11
Kuso Game Jam 2018,kuso-game-jam-2018,38,29
Utility Jam,utility-jam,38,3
Kuwait Game Jam 2018,kgj18,38,10
Queer Pride Zine Jam,queer-pride-zine-jam,38,7
Jamingtons 2.0,jamingtons2,38,15
ESNE GameJamOn II,esne-gamejamon,38,32
UDC Jam Week #1 - Only One Button,udc-jam-week-1,38,15
CFN Halloween Gamejam,cfn-halloween-gamejam,38,6
Wizard Jam 9,wizard-jam-9,38,11
Bolt Jam #6,bolt-jam-6,38,10
Weekly Game Jam - Week 5,weekly-game-jam-5,37,8
Weekly Game Jam - Week 43,weekly-game-jam-43,37,8
slime jam,slime-jam,37,8
Weekly Game Jam - Week 31,weekly-game-jam-31,37,12
Wizard Jam,wizard-jam,37,35
Weekly Game Jam - Week 15,weekly-game-jam-15,37,11
#devtober,devtober,37,7
GameJam Francophone Episode 2,gamejam-francophone-episode-2,37,6
ECTOCOMP 2018 (English),ectocomp-2018-english,37,22
8pixel gamejam,8pixel-gamejam,37,13
Weekly Game Jam - Week 16,weekly-game-jam-16,37,10
Social Justice Game Jam,social-justice-game-jam,37,7
#devtober,devtober,37,7
2ª MGD Jam,mgdjam2,37,13
Weekly Game Jam - Week 5,weekly-game-jam-5,37,8
Bite-Sized Horror Text Game Jam,bitesizedhorror,37,27
Unofficial OGA 'Summer' Game Jam #3 2019,oga-summer-game-jam-3-2019,37,10
Weekly Game Jam - Week 27,weekly-game-jam-27,37,12
Weekly Game Jam - Week 15,weekly-game-jam-15,37,11
Weekly Game Jam - Week 17,weekly-game-jam-17,36,12
January 2016 Lisp Game Jam,january-2016-lisp-game-jam,36,8
San Diego Game Jam,sd2017,36,22
Rev Game Jam 1,rev-game-jam-1,36,15
Mix-and-Match Game Jam,mix-and-match-game-jam,36,3
PolyJam,polyjam,36,1
DAE Game Projects Jam 2019,dae-game-projects-jam-2019,36,18
The Sem Jam - May 2019,thesemjam-0219,36,7
Primitive Game Jam,primitive-game-jam,36,5
GAMERella 2016,gamerella2016,36,9
GULL JAM Spring 2018,gull-jam-spring-2018,36,13
Kentucky Fried Pixels,kentucky-fried-pixels,36,18
Haw Game Jam 4,haw-game-jam-4,36,6
Games Factory Jam 6,games-factory-6,36,12
Jamingtons 4.0,jamingtons4,36,11
Mini Jam 16 + Even Weekend Game Jam: Western,mini-jam-16-western,36,13
Centro de Cultura Digital: Indie Swarm Jam,indie-swarm-jam,36,8
PetJam,pet,36,34
Zero words GameJam,zero-words-gamejam,36,10
Fire Jam #2,fire-jam-2,35,6
Crappy games Jam!,crappy-games-jam,35,9
Hypnosis/Mind Control Jam,hypnosismind-control-jam,35,2
Datapack Jam 1 - Minigames,datapack-jam,35,4
Operation Mechanoid,op-mechanoid,35,5
Simplicity | 01,simplicity,35,10
GC Jam 4,gc-jam-4,35,8
