game_accessibility,count,percentage
,48082,95.90505634786078
color-blind friendly,523,1.043183404807021
textless,436,0.8696519397626409
one button,647,1.2905156078587814
high-contrast,512,1.021242644858881
configurable controls,158,0.3151490974369203
interactive tutorial,218,0.43482596988132044
subtitles,577,1.150892590006981
blind friendly,60,0.11967687244440012
