game_platforms,count,percentage
html5,16039,31.991622618928893
,9359,18.667597486785677
unity,594,1.1848010371995612
windows,27066,53.986237159668896
macos,8075,16.106512416475518
linux,6536,13.036800638276652
android,1372,2.7366111498952828
flash,310,0.6183305076294007
java,7,0.013962301785180015
