game_input,count
,2805
mouse,314
touchscreen,41
keyboard,544
xbox controller,60
gamepad (any),70
smartphone,18
joystick,16
playstation controller,15
joy-con,1
oculus rift,5
neurosky mindwave,1
osvr (open-source virtual reality),1
htc vive,1
voice control,1
leap motion,7
